fact_id,vintage_id,car_reference,sale_quantity,sale_price,Brand,Model,Year,Engine Size,Top Speed,Horsepower,Country
1,35,81,2,17924,Toyota,2000GT,1969,2.0L,220,150,Japan
2,47,226,2,16097,Citroen,SM,1971,2.7L,220,170,France
3,48,221,2,11174,Volvo,P1800,1969,2.0L,190,118,Sweden
4,5,310,4,40418,Chevrolet,Corvette Stingray,1967,5.4L,240,300,USA
5,1,141,3,28079,Ford,Mustang Mach 1,1971,5.8L,210,285,USA
6,47,141,2,48710,Citroen,SM,1971,2.7L,220,170,France
7,31,29,3,27101,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
8,12,116,2,22776,Volkswagen,Beetle Classic,1972,1.6L,130,60,Germany
9,43,33,1,14297,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
10,15,366,2,41042,Porsche,914,1974,2.0L,205,100,Germany
11,50,223,1,23787,Opel,GT,1971,1.9L,185,102,Germany
12,15,397,1,13969,Porsche,914,1974,2.0L,205,100,Germany
13,34,95,4,24063,Fiat,124 Spider,1971,1.6L,170,108,Italy
14,36,280,2,46490,Toyota,Celica GT,1976,2.2L,185,96,Japan
15,37,345,2,8282,Datsun,240Z,1971,2.4L,200,151,Japan
16,15,208,4,16070,Porsche,914,1974,2.0L,205,100,Germany
17,17,201,4,9577,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
18,51,182,1,11397,Holden,Monaro GTS,1971,5.7L,210,300,Australia
19,19,4,2,19976,BMW,3.0 CSL,1973,3.0L,220,206,Germany
20,34,177,4,20984,Fiat,124 Spider,1971,1.6L,170,108,Italy
21,0,131,2,41164,Ford,Mustang Boss 302,1969,5.0L,220,290,USA
22,28,65,2,18990,Ferrari,Dino 246 GT,1972,2.4L,235,195,Italy
23,8,389,1,40099,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
24,6,373,3,10567,Dodge,Charger R/T,1968,7.2L,225,375,USA
25,11,271,1,42346,Lincoln,Continental Mark IV,1975,7.5L,190,202,USA
26,7,345,3,26814,Dodge,Challenger T/A,1970,5.6L,205,290,USA
27,22,380,3,35661,Aston Martin,V8 Vantage,1977,5.3L,260,390,UK
28,23,26,3,24647,Aston Martin,DB6,1966,4.0L,240,282,UK
29,40,26,4,28270,Mazda,RX-3,1973,1.1L,190,130,Japan
30,24,187,4,21145,Mini,Cooper S Mk3,1970,1.3L,160,75,UK
31,25,223,2,17012,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
32,49,49,2,10745,Saab,Sonett III,1972,1.7L,165,65,Sweden
33,43,269,4,42302,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
34,21,88,4,43158,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
35,48,348,4,8842,Volvo,P1800,1969,2.0L,190,118,Sweden
36,38,190,3,13909,Datsun,510,1972,1.6L,165,96,Japan
37,38,316,3,47371,Datsun,510,1972,1.6L,165,96,Japan
38,2,278,2,7100,Ford,Thunderbird,1967,7.0L,205,345,USA
39,15,370,4,38907,Porsche,914,1974,2.0L,205,100,Germany
40,1,160,1,25226,Ford,Mustang Mach 1,1971,5.8L,210,285,USA
41,21,10,3,46132,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
42,28,187,1,37719,Ferrari,Dino 246 GT,1972,2.4L,235,195,Italy
43,3,304,4,14525,Chevrolet,Camaro Z28,1970,5.7L,210,360,USA
44,2,65,4,25764,Ford,Thunderbird,1967,7.0L,205,345,USA
45,51,171,3,23706,Holden,Monaro GTS,1971,5.7L,210,300,Australia
46,36,365,4,46653,Toyota,Celica GT,1976,2.2L,185,96,Japan
47,20,38,2,43374,Jaguar,E-Type Series 3,1971,5.3L,240,272,UK
48,1,46,4,45484,Ford,Mustang Mach 1,1971,5.8L,210,285,USA
49,51,222,4,47315,Holden,Monaro GTS,1971,5.7L,210,300,Australia
50,22,243,1,33689,Aston Martin,V8 Vantage,1977,5.3L,260,390,UK
51,4,62,1,49598,Chevrolet,Chevelle SS,1970,7.4L,215,450,USA
52,23,72,1,21481,Aston Martin,DB6,1966,4.0L,240,282,UK
53,25,136,4,46317,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
54,50,22,2,13299,Opel,GT,1971,1.9L,185,102,Germany
55,17,182,2,11370,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
56,44,244,1,19784,Subaru,Leone Coupe,1973,1.4L,150,80,Japan
57,19,111,4,42689,BMW,3.0 CSL,1973,3.0L,220,206,Germany
58,21,149,2,7976,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
59,8,169,2,28426,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
60,8,346,3,20064,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
61,28,146,3,35179,Ferrari,Dino 246 GT,1972,2.4L,235,195,Italy
62,27,228,3,43952,Ferrari,308 GTB,1975,3.0L,255,255,Italy
63,40,82,2,20993,Mazda,RX-3,1973,1.1L,190,130,Japan
64,20,304,1,13201,Jaguar,E-Type Series 3,1971,5.3L,240,272,UK
65,19,254,3,46527,BMW,3.0 CSL,1973,3.0L,220,206,Germany
66,30,175,4,22740,Lamborghini,Espada,1970,3.9L,245,325,Italy
67,27,285,2,48353,Ferrari,308 GTB,1975,3.0L,255,255,Italy
68,5,361,1,33557,Chevrolet,Corvette Stingray,1967,5.4L,240,300,USA
69,14,248,4,22522,Porsche,911 Carrera RS,1973,2.7L,240,210,Germany
70,45,405,1,39296,Renault,Alpine A110,1973,1.6L,210,138,France
71,21,91,1,42100,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
72,4,370,1,11324,Chevrolet,Chevelle SS,1970,7.4L,215,450,USA
73,24,337,2,7164,Mini,Cooper S Mk3,1970,1.3L,160,75,UK
74,26,19,3,49424,MG,MGB Roadster,1969,1.8L,170,95,UK
75,35,260,1,11296,Toyota,2000GT,1969,2.0L,220,150,Japan
76,26,170,1,27573,MG,MGB Roadster,1969,1.8L,170,95,UK
77,23,100,3,34879,Aston Martin,DB6,1966,4.0L,240,282,UK
78,52,110,3,46276,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
79,43,173,4,22506,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
80,52,81,3,16794,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
81,37,371,1,44303,Datsun,240Z,1971,2.4L,200,151,Japan
82,42,29,4,8503,Honda,Civic RS,1975,1.5L,155,76,Japan
83,0,10,4,48832,Ford,Mustang Boss 302,1969,5.0L,220,290,USA
84,33,331,1,8984,Maserati,Bora,1973,4.7L,265,310,Italy
85,44,234,2,22207,Subaru,Leone Coupe,1973,1.4L,150,80,Japan
86,52,377,4,20264,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
87,23,372,3,42097,Aston Martin,DB6,1966,4.0L,240,282,UK
88,29,86,3,36035,Lamborghini,Urraco P250,1972,2.5L,245,220,Italy
89,21,284,2,35019,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
90,46,306,2,38888,Peugeot,504 Coupe,1972,2.0L,180,104,France
91,35,100,4,24423,Toyota,2000GT,1969,2.0L,220,150,Japan
92,33,20,2,17926,Maserati,Bora,1973,4.7L,265,310,Italy
93,0,303,2,47633,Ford,Mustang Boss 302,1969,5.0L,220,290,USA
94,24,200,1,41177,Mini,Cooper S Mk3,1970,1.3L,160,75,UK
95,8,228,1,31070,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
96,28,239,3,21534,Ferrari,Dino 246 GT,1972,2.4L,235,195,Italy
97,12,17,3,24064,Volkswagen,Beetle Classic,1972,1.6L,130,60,Germany
98,7,346,3,43421,Dodge,Challenger T/A,1970,5.6L,205,290,USA
99,17,31,1,10425,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
100,42,54,3,12774,Honda,Civic RS,1975,1.5L,155,76,Japan
101,11,391,1,46049,Lincoln,Continental Mark IV,1975,7.5L,190,202,USA
102,38,381,1,12240,Datsun,510,1972,1.6L,165,96,Japan
103,17,65,3,14597,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
104,1,207,4,23936,Ford,Mustang Mach 1,1971,5.8L,210,285,USA
105,26,325,2,16370,MG,MGB Roadster,1969,1.8L,170,95,UK
106,44,314,3,19287,Subaru,Leone Coupe,1973,1.4L,150,80,Japan
107,9,171,2,46704,Pontiac,GTO Judge,1969,6.6L,215,366,USA
108,1,244,4,49731,Ford,Mustang Mach 1,1971,5.8L,210,285,USA
109,14,293,3,26705,Porsche,911 Carrera RS,1973,2.7L,240,210,Germany
110,17,261,4,8353,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
111,51,96,2,22406,Holden,Monaro GTS,1971,5.7L,210,300,Australia
112,0,273,2,27716,Ford,Mustang Boss 302,1969,5.0L,220,290,USA
113,43,113,2,32244,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
114,30,292,1,47387,Lamborghini,Espada,1970,3.9L,245,325,Italy
115,37,272,4,44258,Datsun,240Z,1971,2.4L,200,151,Japan
116,21,369,2,49609,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
117,39,243,2,27794,Mazda,Cosmo Sport,1968,1.0L,185,110,Japan
118,49,149,4,32833,Saab,Sonett III,1972,1.7L,165,65,Sweden
119,7,120,3,46750,Dodge,Challenger T/A,1970,5.6L,205,290,USA
120,15,40,1,11607,Porsche,914,1974,2.0L,205,100,Germany
121,50,226,3,5785,Opel,GT,1971,1.9L,185,102,Germany
122,10,243,3,42737,Cadillac,Eldorado,1976,8.2L,180,215,USA
123,42,53,4,13005,Honda,Civic RS,1975,1.5L,155,76,Japan
124,9,386,2,13476,Pontiac,GTO Judge,1969,6.6L,215,366,USA
125,13,329,1,8540,Volkswagen,Karmann Ghia,1971,1.6L,145,50,Germany
126,50,137,4,43844,Opel,GT,1971,1.9L,185,102,Germany
127,48,125,1,43866,Volvo,P1800,1969,2.0L,190,118,Sweden
128,18,215,4,32472,BMW,2002 Turbo,1974,2.0L,210,170,Germany
129,30,175,1,9427,Lamborghini,Espada,1970,3.9L,245,325,Italy
130,27,240,1,30661,Ferrari,308 GTB,1975,3.0L,255,255,Italy
131,23,368,4,9844,Aston Martin,DB6,1966,4.0L,240,282,UK
132,7,98,1,15283,Dodge,Challenger T/A,1970,5.6L,205,290,USA
133,10,114,2,33652,Cadillac,Eldorado,1976,8.2L,180,215,USA
134,26,34,4,45325,MG,MGB Roadster,1969,1.8L,170,95,UK
135,39,170,2,38948,Mazda,Cosmo Sport,1968,1.0L,185,110,Japan
136,18,98,3,31738,BMW,2002 Turbo,1974,2.0L,210,170,Germany
137,22,360,4,19009,Aston Martin,V8 Vantage,1977,5.3L,260,390,UK
138,1,250,4,43263,Ford,Mustang Mach 1,1971,5.8L,210,285,USA
139,7,405,3,12435,Dodge,Challenger T/A,1970,5.6L,205,290,USA
140,38,172,2,24497,Datsun,510,1972,1.6L,165,96,Japan
141,40,143,4,14737,Mazda,RX-3,1973,1.1L,190,130,Japan
142,33,8,3,25472,Maserati,Bora,1973,4.7L,265,310,Italy
143,34,116,3,17517,Fiat,124 Spider,1971,1.6L,170,108,Italy
144,6,87,2,42506,Dodge,Charger R/T,1968,7.2L,225,375,USA
145,46,373,1,46964,Peugeot,504 Coupe,1972,2.0L,180,104,France
146,51,32,1,38749,Holden,Monaro GTS,1971,5.7L,210,300,Australia
147,14,140,2,33584,Porsche,911 Carrera RS,1973,2.7L,240,210,Germany
148,32,233,1,22299,Alfa Romeo,GTV 1750,1969,1.8L,195,118,Italy
149,36,365,3,19262,Toyota,Celica GT,1976,2.2L,185,96,Japan
150,48,83,4,37029,Volvo,P1800,1969,2.0L,190,118,Sweden
151,24,104,1,45159,Mini,Cooper S Mk3,1970,1.3L,160,75,UK
152,25,32,2,24245,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
153,50,31,4,30592,Opel,GT,1971,1.9L,185,102,Germany
154,8,14,2,22535,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
155,13,364,4,13942,Volkswagen,Karmann Ghia,1971,1.6L,145,50,Germany
